gx     gy    gz     ax    ay    az
64884  167  64588  53707  25002  59650
64873  159  64582  54835  32760  58102
64877  155  64589  59304  32760  59628
64871  161  64591  58112  32760  60795
64869  171  64578  57405  29504  62474
64885  173  64576  59254  27366  63086
64867  181  64582  60183  23271  63744
64873  173  64585  956  19767  331
64984  21  64591  6472  17567  8793
64845  201  64604  11508  18782  5086
64827  127  64600  5455  16441  61780
64883  185  64576  4710  9999  59660
64883  167  64574  7193  12609  62796
64877  177  64574  9381  16357  1261
64900  150  64582  6369  22904  61542
64851  218  64595  56392  32641  52325
64808  482  64606  57073  31318  62315
64917  177  64600  63548  30901  62602
64886  175  64578  64524  32760  58393
64878  164  64585  59597  32760  60042
64864  166  64579  56871  32629  60755
64878  184  64572  58431  26194  62001
64877  173  64582  61347  20622  62802
64883  175  64585  62947  16587  62504
64880  183  64578  63119  12377  64100
64902  182  64591  64786  9801  61270
64873  183  64575  64556  1562  263
64873  172  64568  62899  64436  1265
64880  177  64580  59755  63935  2349
64879  166  64588  61723  465  1730
64876  171  64588  63695  2209  65360
64894  176  64587  64289  6133  62629
64876  181  64573  60421  13202  60561
64867  170  64579  57991  18283  65039
64878  162  64585  57659  20408  64786
64889  176  64586  56469  28237  60712
64879  176  64578  57170  32760  61410
64886  166  64587  56877  31163  61710
64879  171  64578  56448  27030  65399
64888  166  64581  51347  20689  911
64878  169  64573  52167  17215  63507
64892  145  64576  61861  17360  989
64890  57  64593  2072  19078  2656
64817  221  64585  6267  13057  1538
64856  167  64572  4767  11103  260
64872  164  64577  4694  7925  62097
64881  172  64577  4735  10993  64979
64883  167  64571  3262  17210  63431
64878  163  64572  97  26526  59149
64867  176  64580  61909  28277  60068
64863  184  64577  60692  23841  59630
64868  169  64591  62063  30816  56992
64857  162  64576  344  32760  57851
64869  165  64583  591  32760  59982
64884  178  64580  1004  30145  61474
64880  174  64587  2320  25181  62956
64874  174  64590  3157  19330  63460
64888  173  64587  4500  13821  62735
64879  164  64575  6526  8987  63085
64873  165  64587  9511  10720  65096
64883  171  64576  10512  12592  1385
64880  163  64590  8896  13759  65343
64874  166  64586  7258  14653  61793
64876  174  64578  5629  15666  60131
64889  165  64590  5849  20254  61097
64884  148  64579  1503  26001  61444
64873  166  64577  58819  27107  62827
64888  169  64589  56117  21410  63111
64870  177  64588  56704  17559  58983
64880  171  64591  53267  18351  63155
64850  162  64585  48930  15247  4488
64873  164  64578  45878  10769  758
64872  167  64586  46734  9876  60802
64876  173  64582  48008  14233  64759
64900  172  64581  53791  13982  1996
64882  172  64578  52965  9001  115
64869  178  64583  53960  5436  61397
64862  157  64566  56629  7267  61817
64883  186  64573  58204  11657  63833
64858  182  64576  61152  14384  64843
64874  172  64572  62141  14300  64483
64876  157  64584  60897  16690  63340
64879  163  64580  55734  23328  60873
64875  183  64588  52742  27375  61887
64871  184  64573  60417  32036  58737
64855  165  64584  65484  32760  57837
64883  171  64584  3578  32760  61256
64875  175  64584  3446  32760  63040
64861  183  64577  5797  28581  64781
64865  163  64586  8808  24389  64051
64870  173  64585  14147  22854  63095
64880  170  64579  18379  18233  59270
64882  170  64590  19371  15051  59895
64885  170  64582  19372  13133  62787
64887  157  64587  18183  12939  63412
64888  173  64579  15446  13643  62412
64890  176  64580  12053  14466  59171
64878  167  64575  8806  18077  55894
64879  173  64580  4950  25755  56064
64872  183  64584  62700  32760  56683
64868  166  64577  56829  32760  58480
64773  240  64565  54604  32095  58517
64886  175  64576  51018  28209  59468
64880  160  64584  47703  23699  64199
64870  169  64569  46977  19258  331
64883  165  64572  47108  15333  196
64889  177  64595  49077  13943  1621
64882  148  64558  56810  14328  5546
64883  172  64575  54282  4309  2149
64872  169  64583  52654  65035  20
64867  170  64592  53605  65361  2022
64865  154  64569  51482  2839  668
64850  157  64585  52671  7395  1424
64889  169  64584  52307  10885  337
64870  186  64594  55975  11750  62900
64874  174  64583  59046  13913  62533
64875  168  64587  57341  21843  59260
64896  174  64584  52258  30997  54820
64871  179  64569  59384  29554  56902
64878  174  64566  63841  32760  55117
64890  164  64585  1069  32760  61112
64887  169  64589  577  32760  63972
64882  178  64577  441  26078  296
64884  173  64588  4343  21195  1655
64888  176  64578  10833  19322  244
64865  179  64577  15825  16052  62201
64878  174  64575  19929  12871  60262
64883  172  64593  21396  9522  63794
64847  168  64581  18701  9428  65380
64868  163  64579  15648  10742  64705
64891  164  64585  14388  11681  62796
64866  158  64578  14290  14262  59767
64877  163  64586  10841  18894  58503
64876  171  64579  4775  27736  58824
64874  173  64582  61360  32760  56040
64865  169  64580  58628  32760  54668
64901  189  64584  58279  32760  53706
64867  169  64588  55970  32760  54913
64848  172  64588  54235  28549  59293
64878  180  64585  51433  22171  63446
64880  179  64590  50438  18111  64337
64867  169  64584  51743  13784  64960
64876  166  64576  53275  10317  1329
64873  174  64593  52800  4570  3958
64875  171  64576  50847  63094  4804
64893  174  64581  51835  62148  3422
64865  166  64577  50742  65469  1368
64878  161  64582  51283  5083  437
64860  149  64592  53134  9305  63901
64894  183  64581  58825  12151  64480
64888  176  64575  57357  15567  57
64877  172  64569  52369  24672  62881
64908  172  64582  52910  28063  59083
64894  172  64578  61692  31287  53288
64918  58  64585  5455  32760  48620
65132  119  64599  5010  32533  53618
64809  215  64627  2361  30885  59090
64942  140  64597  7269  27795  60457
64835  230  64597  12213  23711  63793
64871  179  64585  13512  18486  65202
64876  173  64571  14338  13218  176
64867  179  64575  15252  10518  1801
64872  169  64581  14352  10622  3380
64867  185  64569  13824  11922  3089
64873  179  64580  13825  12785  65079
64885  177  64582  12758  13425  62596
64880  177  64575  10475  15990  61278
64866  162  64582  6654  24118  60240
64875  174  64569  1041  32760  60529
64875  179  64586  58916  32760  59633
64911  159  64568  58039  32362  56261
64875  167  64585  55323  31775  54141
64882  152  64587  53742  30443  60599
64883  159  64577  51575  22653  63731
64871  164  64567  50487  13176  60187
64875  179  64581  51469  8266  59839
64896  174  64571  54056  7820  63309
64903  165  64576  56409  6010  63630
64870  166  64578  53898  3915  5834
64875  160  64584  55477  2491  3586
64880  167  64584  54936  3670  519
